"Airport_code","Name","City","State"
"ATL","Hartsfield Jackson Atlanta International","Atlanta","GA"
"ORD","Chicago O'Hare International","Chicago","IL"
"LAX","Los Angeles International","Los Angeles","CA"
"DFW","Dallas Fort Worth International","Dallas-Fort Worth","TX"
"DEN","Denver International","Denver","CO"
"JFK","John F Kennedy International","New York","NY"
"SFO","San Francisco International","San Francisco","CA"
"CLT","Charlotte Douglas International","Charlotte","NC"
"LAS","McCarran International","Las Vegas","NV"
"PHX","Phoenix Sky Harbor International","Phoenix","AZ"
"IAH","George Bush Intercontinental Houston","Houston","TX"
"MIA","Miami International","Miami","FL"
"MCO","Orlando International","Orlando","FL"
"EWR","Newark Liberty International","Newark","NJ"
"SEA","Seattle Tacoma International","Seattle","WA"
"MSP","Minneapolis-St Paul International/Wold-Chamberlain","Minneapolis","MN"
"DTW","Detroit Metropolitan Wayne County","Detroit","MI"
"PHL","Philadelphia International","Philadelphia","PA"
"BOS","General Edward Lawrence Logan International","Boston","MA"
"LGA","La Guardia","New York","NY"
"FLL","Fort Lauderdale Hollywood International","Fort Lauderdale","FL"
"BWI","Baltimore/Washington International Thurgood Marshall","Baltimore","MD"
"IAD","Washington Dulles International","Washington","MD"
"SLC","Salt Lake City International","Salt Lake City","UT"
"DCA","Ronald Reagan Washington National","Washington","DC"
"MDW","Chicago Midway International","Chicago","IL"
"HNL","Honolulu International","Honolulu","HI"
"SAN","San Diego International","San Diego","CA"
"TPA","Tampa International","Tampa","FL"
"CLE","Cleveland Hopkins International","Cleveland","OH"
"PDX","Portland International","Portland","OR"
"STL","Lambert St Louis International","St Louis","MO"
"HOU","William P Hobby","Houston","TX"
"OAK","Metropolitan Oakland International","Oakland","CA"
"MCI","Kansas City International","Kansas City","MO"
"BNA","Nashville International","Nashville","TN"
"AUS","Austin Bergstrom International","Austin","TX"
"RDU","Raleigh Durham International","Raleigh/Durham","NC"
"SMF","Sacramento International","Sacramento","CA"
"SNA","John Wayne-Orange County","Santa Ana","CA"